Id,Label,timeset,modularity_class,indegree,outdegree,Degree
1001,1001,,54,10,83,93
9304045,9304045,,54,16,1,17
9308122,9308122,,54,115,7,122
9309097,9309097,,54,140,4,144
9311042,9311042,,54,55,2,57
9401139,9401139,,2,421,40,461
9404151,9404151,,54,77,2,79
9407087,9407087,,37,1299,9,1308
9408099,9408099,,37,1006,7,1013
9501030,9501030,,2,126,27,153
9503124,9503124,,2,1114,10,1124
9504090,9504090,,54,337,4,341
9504145,9504145,,54,192,2,194
9505025,9505025,,54,30,14,44
9505054,9505054,,54,63,10,73
9505105,9505105,,54,327,21,348
9505162,9505162,,54,205,25,230
9506048,9506048,,54,49,7,56
9506112,9506112,,54,189,17,206
9506144,9506144,,54,77,15,92
9507050,9507050,,54,160,19,179
9507158,9507158,,54,301,16,317
9508094,9508094,,2,90,29,119
9508155,9508155,,54,192,53,245
9510142,9510142,,54,35,28,63
9510225,9510225,,54,175,22,197
9510234,9510234,,54,92,37,129
9511030,9511030,,54,329,21,350
9511171,9511171,,54,49,22,71
9601108,9601108,,54,95,39,134
9602022,9602022,,54,520,25,545
9602114,9602114,,54,252,35,287
9603003,9603003,,54,194,20,214
9603150,9603150,,54,148,26,174
9603161,9603161,,54,274,32,306
9603167,9603167,,37,467,16,483
9605184,9605184,,54,148,22,170
9605222,9605222,,54,24,23,47
9606017,9606017,,37,110,14,124
9606040,9606040,,37,118,6,124
9607163,9607163,,37,186,7,193
9607207,9607207,,37,127,11,138
9608086,9608086,,54,28,10,38
9609070,9609070,,54,81,15,96
9609071,9609071,,54,65,30,95
9609239,9609239,,37,145,41,186
9611137,9611137,,54,139,65,204
9612108,9612108,,54,37,25,62
9701162,9701162,,54,114,24,138
9702094,9702094,,37,62,37,99
9702155,9702155,,54,63,30,93
9702198,9702198,,54,59,31,90
9703082,9703082,,54,49,30,79
9703166,9703166,,37,424,22,446
9704097,9704097,,54,29,30,59
9705030,9705030,,54,70,26,96
9705044,9705044,,54,71,27,98
9705104,9705104,,54,65,34,99
9705220,9705220,,37,39,56,95
9706005,9706005,,54,11,15,26
9707014,9707014,,54,16,20,36
9707042,9707042,,2,43,18,61
9707049,9707049,,54,16,25,41
9710230,9710230,,4,139,10,149
9711036,9711036,,54,8,23,31
9711104,9711104,,54,17,7,24
9712028,9712028,,54,129,26,155
9712042,9712042,,37,14,7,21
9802194,9802194,,54,22,22,44
9805056,9805056,,54,17,13,30
9805206,9805206,,54,11,20,31
9806094,9806094,,54,22,21,43
9810188,9810188,,4,328,30,358
9811217,9811217,,54,24,58,82
9905036,9905036,,54,14,18,32
9907041,9907041,,54,12,4,16
9908007,9908007,,54,11,27,38
9908144,9908144,,4,54,41,95
9909108,9909108,,37,23,24,47
9909120,9909120,,37,22,4,26
9909229,9909229,,54,18,27,45
9910238,9910238,,54,11,21,32
9910248,9910248,,54,5,31,36
9910268,9910268,,54,5,27,32
9204040,9204040,,54,11,0,11
9203084,9203084,,54,33,0,33
9204035,9204035,,54,40,0,40
9205041,9205041,,54,34,0,34
9207049,9207049,,54,16,0,16
9207111,9207111,,54,18,0,18
9301042,9301042,,37,344,0,344
9301043,9301043,,54,69,0,69
9201015,9201015,,2,14,1,15
9201040,9201040,,4,35,0,35
9201047,9201047,,54,12,1,13
9202046,9202046,,54,91,1,92
9202059,9202059,,54,33,0,33
9202092,9202092,,1,64,0,64
9203008,9203008,,8,9,0,9
9203031,9203031,,54,17,0,17
9204037,9204037,,54,4,0,4
9204046,9204046,,2,66,0,66
9205046,9205046,,31,58,0,58
9205060,9205060,,31,3,1,4
9205062,9205062,,1,8,3,11
9205068,9205068,,54,167,0,167
9206023,9206023,,8,3,0,3
9206051,9206051,,1,19,0,19
9206078,9206078,,31,76,2,78
9207016,9207016,,2,219,1,220
9208076,9208076,,31,22,0,22
9209052,9209052,,31,41,4,45
9210015,9210015,,65,37,0,37
9210021,9210021,,65,104,0,104
9210121,9210121,,2,39,4,43
9211021,9211021,,31,199,0,199
9211041,9211041,,2,7,2,9
9212089,9212089,,54,3,1,4
9301005,9301005,,2,13,2,15
9302033,9302033,,65,80,9,89
9302069,9302069,,2,4,5,9
9302126,9302126,,34,111,10,121
9303032,9303032,,34,20,7,27
9304155,9304155,,1,15,6,21
9305185,9305185,,2,171,13,184
9308042,9308042,,1,22,3,25
9305139,9305139,,2,51,0,51
9309140,9309140,,54,194,19,213
9204102,9204102,,37,71,0,71
9211097,9211097,,37,81,1,82
9402002,9402002,,2,282,14,296
9402005,9402005,,54,58,7,65
9402044,9402044,,37,257,0,257
9403195,9403195,,37,88,1,89
9403198,9403198,,37,124,1,125
9406128,9406128,,2,29,5,34
9205081,9205081,,2,77,0,77
9207053,9207053,,2,102,0,102
9208055,9208055,,2,32,1,33
9209016,9209016,,2,76,0,76
9211056,9211056,,2,68,4,72
9303057,9303057,,2,54,10,64
9305142,9305142,,2,87,4,91
9306052,9306052,,2,101,6,107
9306125,9306125,,2,6,3,9
9311120,9311120,,2,60,7,67
9402032,9402032,,2,240,4,244
9406105,9406105,,2,87,9,96
9406198,9406198,,2,41,25,66
9407021,9407021,,2,9,9,18
9407111,9407111,,2,38,7,45
9408040,9408040,,2,31,16,47
9408074,9408074,,37,290,9,299
9408083,9408083,,2,82,27,109
9409021,9409021,,2,101,14,115
9410167,9410167,,2,748,25,773
9410210,9410210,,2,3,6,9
9412184,9412184,,2,426,36,462
9205027,9205027,,2,191,0,191
9406012,9406012,,2,13,0,13
9411149,9411149,,37,411,11,422
9411178,9411178,,2,30,17,47
9201059,9201059,,2,47,0,47
9309152,9309152,,2,8,3,11
9310067,9310067,,54,9,3,12
9412115,9412115,,54,6,14,20
9501068,9501068,,2,385,6,391
9502072,9502072,,54,151,23,174
9504027,9504027,,2,142,20,162
9504047,9504047,,2,158,22,180
9304154,9304154,,2,229,9,238
9501022,9501022,,2,36,4,40
9502057,9502057,,2,33,20,53
9503179,9503179,,37,138,18,156
9308083,9308083,,54,104,4,108
9411048,9411048,,37,314,2,316
9411057,9411057,,37,268,2,270
9501111,9501111,,54,19,7,26
9502077,9502077,,54,68,24,92
9503163,9503163,,37,144,9,153
9504006,9504006,,54,145,23,168
9504034,9504034,,54,111,9,120
9505023,9505023,,54,35,14,49
9505053,9505053,,54,136,6,142
9505062,9505062,,37,174,14,188
9302103,9302103,,54,133,1,134
9305069,9305069,,2,29,2,31
9406032,9406032,,54,13,8,21
9409188,9409188,,37,87,2,89
9406055,9406055,,54,68,15,83
9408036,9408036,,54,64,8,72
9411234,9411234,,54,31,2,33
9412200,9412200,,54,26,23,49
9506075,9506075,,54,36,31,67
9506091,9506091,,54,23,36,59
9506024,9506024,,54,15,13,28
9506077,9506077,,37,37,32,69
9506110,9506110,,54,96,23,119
9506160,9506160,,2,84,11,95
9506194,9506194,,2,102,16,118
9507027,9507027,,54,47,14,61
9207060,9207060,,2,54,0,54
9503212,9503212,,54,46,10,56
9506126,9506126,,2,159,41,200
9506150,9506150,,37,74,13,87
9507048,9507048,,2,159,9,168
9303106,9303106,,2,3,4,7
9410073,9410073,,2,150,6,156
9411187,9411187,,2,118,28,146
9504081,9504081,,2,228,13,241
9504095,9504095,,2,41,14,55
9506057,9506057,,2,57,21,78
9507090,9507090,,2,150,28,178
9508056,9508056,,2,6,10,16
9304135,9304135,,37,37,4,41
9412209,9412209,,54,47,18,65
9505073,9505073,,2,113,25,138
9505150,9505150,,37,176,18,194
9506084,9506084,,37,20,13,33
9506102,9506102,,37,155,11,166
9507113,9507113,,54,38,34,72
9507115,9507115,,54,103,17,120
9507121,9507121,,54,304,13,317
9507151,9507151,,54,28,13,41
9507153,9507153,,54,29,10,39
9507168,9507168,,54,30,17,47
9508044,9508044,,54,5,22,27
9508064,9508064,,54,47,42,89
9508071,9508071,,54,16,14,30
9508096,9508096,,54,2,17,19
9508143,9508143,,2,373,15,388
9508144,9508144,,54,30,15,45
9409110,9409110,,54,22,10,32
9503208,9503208,,37,16,9,25
9507012,9507012,,54,148,9,157
9508154,9508154,,2,126,24,150
9509009,9509009,,54,37,19,56
9510093,9510093,,54,64,18,82
9201056,9201056,,4,118,0,118
9206080,9206080,,54,9,0,9
9301083,9301083,,25,50,6,56
9307158,9307158,,54,82,4,86
9308062,9308062,,25,5,12,17
9407031,9407031,,2,136,9,145
9506122,9506122,,54,56,17,73
9509066,9509066,,37,223,38,261
9510135,9510135,,2,775,15,790
9510169,9510169,,2,388,9,397
9204030,9204030,,54,75,1,76
9205009,9205009,,54,42,0,42
9510017,9510017,,2,1155,10,1165
9510173,9510173,,54,41,6,47
9510182,9510182,,54,172,63,235
9412236,9412236,,37,63,19,82
9511164,9511164,,37,144,23,167
9511222,9511222,,37,273,15,288
9512016,9512016,,54,10,11,21
9512017,9512017,,37,15,20,35
9512059,9512059,,2,325,22,347
9512145,9512145,,2,35,17,52
9601014,9601014,,54,54,26,80
9601038,9601038,,54,329,8,337
9206101,9206101,,8,7,0,7
9409111,9409111,,34,57,0,57
9505183,9505183,,8,37,14,51
9506101,9506101,,54,65,4,69
9510086,9510086,,2,232,23,255
9510161,9510161,,2,172,15,187
9510209,9510209,,0,788,18,806
9511080,9511080,,2,121,9,130
9512077,9512077,,2,380,14,394
9512181,9512181,,2,88,37,125
9512196,9512196,,54,92,27,119
9512219,9512219,,54,169,15,184
9601036,9601036,,54,139,25,164
9602010,9602010,,54,39,25,64
9210127,9210127,,54,158,1,159
9304104,9304104,,54,45,1,46
9506156,9506156,,2,19,22,41
9508107,9508107,,37,21,13,34
9509106,9509106,,2,15,67,82
9512129,9512129,,54,46,46,92
9512178,9512178,,2,35,7,42
9602049,9602049,,2,110,15,125
9602064,9602064,,2,185,30,215
9602097,9602097,,54,42,25,67
9602118,9602118,,54,33,16,49
9512053,9512053,,54,46,15,61
9602030,9602030,,54,79,15,94
9602070,9602070,,54,325,18,343
9602098,9602098,,11,2,2,4
9602120,9602120,,54,122,18,140
9404060,9404060,,54,9,4,13
9511108,9511108,,54,73,26,99
9511157,9511157,,54,24,31,55
9602102,9602102,,54,38,30,68
9603037,9603037,,54,71,20,91
9511204,9511204,,54,25,14,39
9512078,9512078,,2,101,21,122
9509151,9509151,,37,53,13,66
9511026,9511026,,2,79,7,86
9511088,9511088,,2,79,11,90
9601029,9601029,,2,651,27,678
9601162,9601162,,37,16,7,23
9602052,9602052,,2,406,51,457
9603142,9603142,,54,494,4,498
9309110,9309110,,54,55,9,64
9403054,9403054,,37,12,4,16
9406090,9406090,,54,19,6,25
9412117,9412117,,54,23,14,37
9502012,9502012,,54,19,12,31
9510055,9510055,,54,16,18,34
9605036,9605036,,54,23,16,39
9603081,9603081,,2,132,23,155
9603127,9603127,,2,141,21,162
9604198,9604198,,37,120,8,128
9605150,9605150,,54,228,21,249
9605199,9605199,,54,139,17,156
9406178,9406178,,65,12,5,17
9510227,9510227,,54,129,7,136
9512062,9512062,,2,333,21,354
9603042,9603042,,37,98,20,118
9602167,9602167,,37,69,11,80
9509132,9509132,,2,76,51,127
9608039,9608039,,54,34,21,55
9608079,9608079,,54,54,7,61
9604097,9604097,,54,62,32,94
9605154,9605154,,54,49,45,94
9608111,9608111,,54,116,18,134
9605131,9605131,,54,56,21,77
9605200,9605200,,54,118,32,150
9606044,9606044,,54,64,13,77
9606086,9606086,,54,59,8,67
9607020,9607020,,54,25,21,46
9607139,9607139,,54,58,32,90
9608024,9608024,,2,383,51,434
9608047,9608047,,54,33,8,41
9608109,9608109,,54,36,23,59
9509042,9509042,,54,24,13,37
9509161,9509161,,37,201,17,218
9510106,9510106,,54,44,15,59
9602051,9602051,,2,201,18,219
9603108,9603108,,54,42,43,85
9608194,9608194,,54,24,20,44
9511077,9511077,,4,13,7,20
9512226,9512226,,54,6,37,43
9603170,9603170,,54,64,39,103
9604034,9604034,,37,217,56,273
9609161,9609161,,54,59,17,76
9604129,9604129,,54,136,24,160
9606165,9606165,,54,102,11,113
9610111,9610111,,54,20,20,40
9602065,9602065,,2,137,10,147
9604030,9604030,,54,116,15,131
9605053,9605053,,54,107,11,118
9606122,9606122,,54,112,23,135
9606148,9606148,,54,27,30,57
9607091,9607091,,54,42,4,46
9607105,9607105,,54,16,24,40
9610195,9610195,,54,19,55,74
9610251,9610251,,54,55,46,101
9611090,9611090,,37,80,28,108
9612052,9612052,,37,71,26,97
9701015,9701015,,37,40,23,63
9701023,9701023,,54,45,41,86
9701147,9701147,,54,18,29,47
9503115,9503115,,37,113,7,120
9505006,9505006,,37,96,7,103
9505075,9505075,,37,204,15,219
9505082,9505082,,37,23,3,26
9505100,9505100,,37,178,6,184
9506098,9506098,,37,56,7,63
9507013,9507013,,37,52,13,65
9507018,9507018,,37,45,19,64
9507032,9507032,,37,70,6,76
9507169,9507169,,37,38,11,49
9510148,9510148,,37,46,19,65
9510228,9510228,,37,37,21,58
9511154,9511154,,37,111,7,118
9603086,9603086,,2,61,25,86
9603136,9603136,,37,120,17,137
9603158,9603158,,37,41,10,51
9607076,9607076,,37,52,14,66
9607202,9607202,,37,89,14,103
9610132,9610132,,37,1,0,1
9611190,9611190,,37,91,165,256
9611197,9611197,,37,26,22,48
9612114,9612114,,37,22,2,24
9612207,9612207,,37,46,39,85
9204060,9204060,,54,41,0,41
9205004,9205004,,54,46,0,46
9304026,9304026,,37,43,0,43
9509049,9509049,,54,4,9,13
9511230,9511230,,54,22,8,30
9606112,9606112,,37,151,14,165
9606008,9606008,,54,17,11,28
9609219,9609219,,37,72,30,102
9207091,9207091,,54,49,0,49
9210068,9210068,,54,43,0,43
9504102,9504102,,37,126,7,133
9505097,9505097,,54,24,8,32
9507008,9507008,,37,118,10,128
9509175,9509175,,37,154,16,170
9509176,9509176,,37,101,17,118
9510074,9510074,,54,48,6,54
9511180,9511180,,37,40,15,55
9512005,9512005,,37,37,14,51
9512006,9512006,,2,61,4,65
9512139,9512139,,54,15,26,41
9603004,9603004,,54,49,19,68
9604062,9604062,,54,10,5,15
9605032,9605032,,54,95,41,136
9606043,9606043,,37,34,13,47
9606073,9606073,,54,7,5,12
9607032,9607032,,54,28,27,55
9608183,9608183,,37,35,24,59
9609059,9609059,,37,33,28,61
9611112,9611112,,54,6,6,12
9611188,9611188,,54,4,32,36
9612105,9612105,,54,40,45,85
9505035,9505035,,37,204,12,216
9506011,9506011,,2,86,16,102
9509162,9509162,,37,108,4,112
9510101,9510101,,37,225,14,239
9608085,9608085,,37,37,7,44
9611230,9611230,,37,438,20,458
9612131,9612131,,37,68,23,91
9702014,9702014,,37,156,14,170
9702154,9702154,,37,61,13,74
9509146,9509146,,54,25,18,43
9606133,9606133,,54,21,37,58
9610154,9610154,,54,23,11,34
9701165,9701165,,54,74,34,108
9701175,9701175,,54,18,24,42
9703007,9703007,,54,27,47,74
9703148,9703148,,54,9,27,36
9310035,9310035,,2,21,1,22
9604178,9604178,,54,127,23,150
9606176,9606176,,54,38,31,69
9607019,9607019,,54,63,13,76
9607057,9607057,,54,56,39,95
9607229,9607229,,54,63,29,92
9608053,9608053,,54,47,31,78
9611050,9611050,,2,701,71,772
9612126,9612126,,2,125,18,143
9702038,9702038,,54,54,19,73
9605030,9605030,,11,30,24,54
9609159,9609159,,54,19,13,32
9610140,9610140,,37,107,19,126
9703098,9703098,,54,18,31,49
9703167,9703167,,54,16,15,31
9609111,9609111,,54,15,18,33
9701129,9701129,,54,5,25,30
9702061,9702061,,54,23,31,54
9610076,9610076,,54,30,14,44
9611063,9611063,,37,66,26,92
9611201,9611201,,37,35,15,50
9612085,9612085,,54,28,39,67
9702180,9702180,,37,79,17,96
9703100,9703100,,37,36,8,44
9703110,9703110,,37,74,26,100
9703210,9703210,,37,108,24,132
9704043,9704043,,37,73,22,95
9704044,9704044,,37,80,27,107
9704061,9704061,,37,29,19,48
9704104,9704104,,37,100,49,149
9704170,9704170,,37,87,31,118
9705004,9705004,,37,23,25,48
9609176,9609176,,54,66,49,115
9610043,9610043,,2,1199,19,1218
9705113,9705113,,2,18,27,45
9705175,9705175,,2,28,35,63
9706155,9706155,,37,14,21,35
9506052,9506052,,37,57,3,60
9601003,9601003,,2,134,15,149
9602077,9602077,,2,76,12,88
9702136,9702136,,2,98,23,121
9704089,9704089,,2,144,22,166
9705162,9705162,,2,87,43,130
9705212,9705212,,2,26,10,36
9706117,9706117,,2,52,9,61
9706144,9706144,,2,19,8,27
9706207,9706207,,2,39,26,65
9605033,9605033,,2,196,12,208
9609017,9609017,,54,97,41,138
9610234,9610234,,2,151,11,162
9710206,9710206,,2,82,29,111
9406091,9406091,,54,11,3,14
9609167,9609167,,54,19,32,51
9611172,9611172,,54,8,17,25
9702199,9702199,,54,8,24,32
9705174,9705174,,54,23,26,49
9705210,9705210,,54,9,27,36
9709178,9709178,,37,10,12,22
9709193,9709193,,37,49,25,74
9710021,9710021,,54,8,23,31
9710031,9710031,,54,6,12,18
9711013,9711013,,37,70,29,99
9611092,9611092,,65,13,4,17
9309124,9309124,,54,17,3,20
9703157,9703157,,54,27,23,50
9707123,9707123,,37,58,33,91
9708118,9708118,,37,70,50,120
9711201,9711201,,54,56,65,121
9512043,9512043,,54,18,27,45
9709180,9709180,,37,33,46,79
9712023,9712023,,54,10,17,27
9801057,9801057,,54,21,27,48
9802093,9802093,,54,6,10,16
9711162,9711162,,3,788,18,806
9711165,9711165,,3,456,7,463
9805189,9805189,,54,17,25,42
9403040,9403040,,2,94,1,95
9511194,9511194,,4,115,1,116
9604091,9604091,,4,142,27,169
9604156,9604156,,2,105,27,132
9612215,9612215,,4,19,28,47
9704006,9704006,,4,60,9,69
9708147,9708147,,2,230,17,247
9803194,9803194,,4,123,54,177
9805019,9805019,,4,235,30,265
9805112,9805112,,34,173,24,197
9805170,9805170,,4,297,15,312
9806155,9806155,,4,105,5,110
9807138,9807138,,4,39,10,49
9807235,9807235,,37,70,25,95
9808141,9808141,,4,229,27,256
9809111,9809111,,4,104,11,115
9810163,9810163,,2,15,4,19
9402119,9402119,,54,33,3,36
9610162,9610162,,54,51,65,116
9706110,9706110,,37,125,74,199
9706226,9706226,,54,17,19,36
9801139,9801139,,37,14,11,25
9802202,9802202,,54,26,20,46
9803224,9803224,,54,31,17,48
9804176,9804176,,54,32,46,78
9807096,9807096,,54,18,35,53
9602154,9602154,,54,11,18,29
9405012,9405012,,4,5,0,5
9403096,9403096,,54,28,12,40
9403187,9403187,,54,41,11,52
9508091,9508091,,2,59,18,77
9610151,9610151,,54,56,20,76
9706195,9706195,,54,42,9,51
9707013,9707013,,54,28,25,53
9707044,9707044,,2,35,12,47
9801009,9801009,,54,2,10,12
9806140,9806140,,2,35,10,45
9812170,9812170,,2,5,8,13
9901126,9901126,,54,16,20,36
9901137,9901137,,54,7,22,29
9610148,9610148,,2,152,40,192
9610249,9610249,,2,154,17,171
9611159,9611159,,2,186,29,215
9611173,9611173,,2,214,12,226
9612080,9612080,,2,178,22,200
9709027,9709027,,2,169,17,186
9711098,9711098,,2,24,18,42
9711200,9711200,,34,2414,54,2468
9712086,9712086,,2,31,31,62
9812135,9812135,,4,164,34,198
9901042,9901042,,4,37,26,63
9902160,9902160,,4,31,24,55
9903123,9903123,,4,68,31,99
9904207,9904207,,4,282,73,355
9905006,9905006,,4,87,36,123
9905080,9905080,,4,7,24,31
9905195,9905195,,4,38,26,64
9907061,9907061,,2,1,12,13
9908091,9908091,,4,5,6,11
9908126,9908126,,4,21,29,50
9403123,9403123,,37,35,3,38
9605201,9605201,,54,21,27,48
9803205,9803205,,2,41,11,52
9807040,9807040,,37,15,28,43
9902098,9902098,,1,78,30,108
9903031,9903031,,37,76,13,89
9904104,9904104,,1,17,15,32
9905032,9905032,,1,15,30,45
9907189,9907189,,4,67,7,74
9907200,9907200,,1,25,22,47
9908041,9908041,,1,18,11,29
9212115,9212115,,19,8,0,8
9511169,9511169,,4,5,0,5
9810157,9810157,,2,11,16,27
9810064,9810064,,54,10,13,23
9903224,9903224,,1,119,30,149
9907178,9907178,,1,51,33,84
9908142,9908142,,3,1144,75,1219
9909101,9909101,,2,35,51,86
9904115,9904115,,54,11,49,60
9910216,9910216,,54,1,28,29
1002,1002,,0,43,36,79
9201007,9201007,,0,83,0,83
9204031,9204031,,0,21,0,21
9210123,9210123,,0,13,6,19
9304062,9304062,,0,14,4,18
9306005,9306005,,0,2,0,2
9402089,9402089,,0,4,8,12
9604090,9604090,,0,106,37,143
9803235,9803235,,54,208,40,248
9807051,9807051,,0,30,24,54
9809015,9809015,,34,11,18,29
9810063,9810063,,34,11,21,32
9812035,9812035,,34,79,19,98
9902125,9902125,,34,56,23,79
9902155,9902155,,34,50,16,66
9904017,9904017,,34,230,42,272
9905012,9905012,,0,223,7,230
9905210,9905210,,0,168,29,197
9906064,9906064,,0,1032,6,1038
9906194,9906194,,34,135,30,165
9907070,9907070,,34,29,47,76
9907209,9907209,,0,109,4,113
9908076,9908076,,0,115,6,121
9908116,9908116,,0,64,17,81
9908186,9908186,,0,53,16,69
9909001,9909001,,0,35,11,46
9909041,9909041,,34,47,28,75
9909053,9909053,,0,125,8,133
9909058,9909058,,0,108,24,132
9909121,9909121,,34,49,32,81
9909134,9909134,,0,232,29,261
9910149,9910149,,0,171,17,188
9910219,9910219,,0,211,9,220
9912012,9912012,,34,137,18,155
9912118,9912118,,0,96,18,114
9912132,9912132,,34,37,52,89
9912187,9912187,,0,32,30,62
9202037,9202037,,34,9,0,9
9206004,9206004,,34,17,1,18
9209116,9209116,,2,44,5,49
9202014,9202014,,2,104,0,104
9203083,9203083,,2,39,0,39
9212020,9212020,,0,11,2,13
9307049,9307049,,2,172,2,174
9309089,9309089,,1,10,0,10
9402085,9402085,,0,23,0,23
9403058,9403058,,54,33,7,40
9405124,9405124,,2,79,1,80
9409119,9409119,,2,19,11,30
9411170,9411170,,0,9,10,19
9501073,9501073,,1,8,3,11
9503114,9503114,,54,34,7,41
9510097,9510097,,2,95,34,129
9511131,9511131,,54,3,16,19
9512031,9512031,,2,176,34,210
9512127,9512127,,2,62,27,89
9601075,9601075,,0,7,1,8
9602126,9602126,,0,14,5,19
9603074,9603074,,54,31,71,102
9511203,9511203,,2,53,5,58
9601150,9601150,,2,190,11,201
9605136,9605136,,54,108,18,126
9606036,9606036,,54,48,24,72
9608019,9608019,,54,86,20,106
9608173,9608173,,2,59,12,71
9609209,9609209,,54,59,17,76
9611134,9611134,,2,32,19,51
9611196,9611196,,54,14,24,38
9701048,9701048,,54,23,16,39
9704177,9704177,,54,71,18,89
9706171,9706171,,54,25,15,40
9707143,9707143,,54,68,11,79
9707208,9707208,,54,53,10,63
9707223,9707223,,54,43,12,55
9708031,9708031,,54,25,6,31
9709043,9709043,,54,34,17,51
9709049,9709049,,54,27,18,45
9709214,9709214,,54,23,7,30
9710208,9710208,,54,76,18,94
9711080,9711080,,54,12,26,38
9711197,9711197,,54,51,15,66
9712214,9712214,,54,73,16,89
9801030,9801030,,54,55,19,74
9801087,9801087,,54,22,30,52
9801123,9801123,,54,12,24,36
9801204,9801204,,54,10,12,22
9802111,9802111,,54,8,10,18
9802148,9802148,,54,9,25,34
9504019,9504019,,2,37,8,45
9607011,9607011,,2,53,19,72
9607043,9607043,,2,11,20,31
9611079,9611079,,2,19,6,25
9704186,9704186,,2,30,17,47
9707207,9707207,,2,21,18,39
9710244,9710244,,2,16,22,38
9801160,9801160,,2,13,22,35
9802030,9802030,,31,33,1,34
9803084,9803084,,31,17,1,18
9803116,9803116,,2,73,63,136
9803156,9803156,,31,25,3,28
9803239,9803239,,2,20,19,39
9803259,9803259,,2,38,38,76
9805012,9805012,,31,4,7,11
9805032,9805032,,31,4,7,11
9805167,9805167,,31,5,10,15
9204099,9204099,,34,380,0,380
9308131,9308131,,31,15,3,18
9310159,9310159,,1,27,21,48
9512222,9512222,,34,19,4,23
9706174,9706174,,34,7,2,9
9706192,9706192,,2,57,30,87
9711161,9711161,,34,85,14,99
9803090,9803090,,34,27,41,68
9805087,9805087,,34,19,11,30
9806195,9806195,,34,20,59,79
9807137,9807137,,34,85,22,107
9807187,9807187,,34,36,11,47
9808016,9808016,,34,94,23,117
9808097,9808097,,34,27,10,37
9808149,9808149,,34,113,29,142
9607060,9607060,,34,44,2,46
9608125,9608125,,34,45,7,52
9611014,9611014,,54,41,21,62
9705024,9705024,,2,12,41,53
9711048,9711048,,54,10,11,21
9802109,9802109,,34,1641,12,1653
9802150,9802150,,34,1775,22,1797
9802203,9802203,,34,131,17,148
9803171,9803171,,34,75,25,100
9804170,9804170,,34,129,17,146
9806074,9806074,,34,155,18,173
9807090,9807090,,34,35,21,56
9807097,9807097,,34,75,26,101
9807098,9807098,,34,106,21,127
9808006,9808006,,34,74,15,89
9808162,9808162,,34,55,11,66
9809067,9809067,,34,34,19,53
9809122,9809122,,54,19,16,35
9809179,9809179,,34,49,8,57
